user,date,total_events,unique_event_types,total_data_mb,max_data_mb,off_hours_activity,risky_event_count,actual_label,avg_events,avg_data_mb,avg_off_hours,event_deviation,data_deviation,off_hours_deviation,anomaly,risk_score,risk_level
henry,2026-07-12,18,7,0.9277095794677734,0.187896728515625,6,6,1,12.733333333333333,0.3987883567810059,2.033333333333333,5.2666666666666675,0.5289212226867676,3.966666666666667,-1,100.0,High
charlie,2026-07-16,2,2,0.037830352783203125,0.02232646942138672,0,0,0,12.633333333333333,0.3254096031188965,1.3666666666666667,-10.633333333333333,-0.28757925033569337,-1.3666666666666667,-1,92.82665696575741,High
henry,2026-07-25,23,5,0.7587747573852539,0.17061996459960938,4,4,1,12.733333333333333,0.3987883567810059,2.033333333333333,10.266666666666667,0.359986400604248,1.9666666666666668,-1,81.1977415445364,High
emma,2026-07-02,13,5,0.8571481704711914,0.18355846405029297,5,5,1,11.733333333333333,0.30829159418741864,1.2666666666666666,1.2666666666666675,0.5488565762837727,3.7333333333333334,-1,78.81336554884325,High
frank,2026-07-05,18,7,0.8736915588378906,0.18326282501220703,5,5,1,12.0,0.3260814666748047,1.3,6.0,0.547610092163086,3.7,-1,78.40525934730417,High
grace,2026-07-03,16,7,0.6556806564331055,0.14480876922607422,5,5,1,13.866666666666667,0.4211228052775065,1.9666666666666666,2.133333333333333,0.23455785115559896,3.033333333333333,-1,69.30384561409016,Medium
grace,2026-07-24,22,6,0.6408710479736328,0.1229705810546875,4,4,1,13.866666666666667,0.4211228052775065,1.9666666666666666,8.133333333333333,0.2197482426961263,2.033333333333333,-1,61.859721752235274,Medium
bob,2026-07-03,23,5,0.5889902114868164,0.18085956573486328,2,2,1,13.3,0.3794918378194173,1.9333333333333333,9.7,0.2094983736673991,0.06666666666666665,-1,59.87876370005942,Medium
bob,2026-07-11,5,3,0.09046363830566406,0.02711009979248047,0,0,0,13.3,0.3794918378194173,1.9333333333333333,-8.3,-0.28902819951375325,-1.9333333333333333,-1,57.76606944479165,Medium
grace,2026-07-09,20,7,0.7682857513427734,0.1893320083618164,4,4,1,13.866666666666667,0.4211228052775065,1.9666666666666666,6.133333333333333,0.34716294606526693,2.033333333333333,-1,55.855785921652135,Medium
bob,2026-06-28,7,6,0.5229949951171875,0.1899852752685547,4,4,1,13.3,0.3794918378194173,1.9333333333333333,-6.300000000000001,0.1435031572977702,2.0666666666666664,-1,54.74073349104073,Medium
bob,2026-07-23,17,7,0.5613622665405273,0.113983154296875,4,4,1,13.3,0.3794918378194173,1.9333333333333333,3.6999999999999993,0.18187042872111003,2.0666666666666664,-1,52.307243770432756,Medium
david,2026-07-15,7,6,0.6041946411132812,0.16999149322509766,4,4,1,11.1,0.31158746083577477,1.4,-4.1,0.2926071802775065,2.6,-1,51.100113260825374,Medium
frank,2026-06-30,6,3,0.2805805206298828,0.17473983764648438,1,1,1,12.0,0.3260814666748047,1.3,-6.0,-0.045500946044921886,-0.30000000000000004,-1,49.05898339534629,Medium
grace,2026-07-20,7,6,0.47844886779785156,0.1889333724975586,3,3,1,13.866666666666667,0.4211228052775065,1.9666666666666666,-6.866666666666667,0.057326062520345056,1.0333333333333334,-1,48.718656583709155,Medium
alice,2026-07-21,7,2,0.07820987701416016,0.02234363555908203,0,0,0,12.633333333333333,0.30073706309000653,1.1666666666666667,-5.633333333333333,-0.22252718607584637,-1.1666666666666667,-1,46.84417158009055,Medium
charlie,2026-07-14,19,7,0.6356525421142578,0.15755176544189453,4,4,1,12.633333333333333,0.3254096031188965,1.3666666666666667,6.366666666666667,0.3102429389953613,2.6333333333333333,-1,46.63344760585586,Medium
alice,2026-07-14,19,7,0.5593996047973633,0.14173221588134766,3,3,1,12.633333333333333,0.30073706309000653,1.1666666666666667,6.366666666666667,0.25866254170735675,1.8333333333333333,-1,45.40002171441145,Medium
frank,2026-07-02,8,2,0.09518814086914062,0.02206134796142578,0,0,0,12.0,0.3260814666748047,1.3,-4.0,-0.23089332580566407,-1.3,-1,45.24966231523956,Medium
charlie,2026-07-06,21,5,0.4243745803833008,0.18991947174072266,1,1,1,12.633333333333333,0.3254096031188965,1.3666666666666667,8.366666666666667,0.09896497726440429,-0.3666666666666667,-1,45.19461331074945,Medium
henry,2026-07-07,15,7,0.7159461975097656,0.1796121597290039,4,4,1,12.733333333333333,0.3987883567810059,2.033333333333333,2.2666666666666675,0.31715784072875974,1.9666666666666668,-1,43.08343083814921,Medium
bob,2026-07-24,6,4,0.20518207550048828,0.15050315856933594,1,1,1,13.3,0.3794918378194173,1.9333333333333333,-7.300000000000001,-0.17430976231892903,-0.9333333333333333,-1,42.1286133990325,Medium
alice,2026-07-02,12,6,0.7151517868041992,0.18177127838134766,4,4,1,12.633333333333333,0.30073706309000653,1.1666666666666667,-0.6333333333333329,0.4144147237141927,2.833333333333333,-1,41.46720372562191,Medium
emma,2026-07-16,20,6,0.509129524230957,0.15917682647705078,2,2,1,11.733333333333333,0.30829159418741864,1.2666666666666666,8.266666666666667,0.2008379300435384,0.7333333333333334,-1,40.14838120707347,Medium
david,2026-07-07,16,4,0.2511892318725586,0.02848339080810547,0,0,0,11.1,0.31158746083577477,1.4,4.9,-0.06039822896321617,-1.4,-1,38.51415254007346,Normal
henry,2026-06-30,12,5,0.618535041809082,0.19072246551513672,4,4,1,12.733333333333333,0.3987883567810059,2.033333333333333,-0.7333333333333325,0.21974668502807615,1.9666666666666668,-1,37.76363622937658,Normal
frank,2026-07-12,16,4,0.27486324310302734,0.028182029724121094,0,0,0,12.0,0.3260814666748047,1.3,4.0,-0.051218223571777355,-1.3,-1,37.395973043721305,Normal
emma,2026-07-20,6,4,0.1246023178100586,0.04981803894042969,1,1,1,11.733333333333333,0.30829159418741864,1.2666666666666666,-5.7333333333333325,-0.18368927637736004,-0.2666666666666666,-1,37.39126840199175,Normal
david,2026-07-04,16,4,0.20890140533447266,0.02741241455078125,0,0,0,11.1,0.31158746083577477,1.4,4.9,-0.10268605550130211,-1.4,-1,37.38003036118081,Normal
emma,2026-06-29,19,5,0.3808021545410156,0.0897970199584961,1,1,1,11.733333333333333,0.30829159418741864,1.2666666666666666,7.2666666666666675,0.07251056035359699,-0.2666666666666666,1,37.3220382257351,Normal
alice,2026-07-15,15,4,0.2694234848022461,0.026300430297851562,0,0,0,12.633333333333333,0.30073706309000653,1.1666666666666667,2.366666666666667,-0.031313578287760435,-1.1666666666666667,1,36.39790375209842,Normal
grace,2026-07-16,20,6,0.5078392028808594,0.14988040924072266,3,3,1,13.866666666666667,0.4211228052775065,1.9666666666666666,6.133333333333333,0.08671639760335287,1.0333333333333334,1,36.31651050670378,Normal
grace,2026-07-12,20,6,0.6375036239624023,0.17276477813720703,3,3,1,13.866666666666667,0.4211228052775065,1.9666666666666666,6.133333333333333,0.21638081868489584,1.0333333333333334,1,35.786155360515416,Normal
bob,2026-07-10,15,6,0.45978260040283203,0.09352302551269531,3,3,1,13.3,0.3794918378194173,1.9333333333333333,1.6999999999999993,0.08029076258341472,1.0666666666666667,1,35.22191823120704,Normal
charlie,2026-07-27,6,3,0.0947885513305664,0.025882720947265625,0,0,0,12.633333333333333,0.3254096031188965,1.3666666666666667,-6.633333333333333,-0.2306210517883301,-1.3666666666666667,1,34.92059684913196,Normal
grace,2026-07-26,13,6,0.7304697036743164,0.1874980926513672,4,4,1,13.866666666666667,0.4211228052775065,1.9666666666666666,-0.8666666666666671,0.3093468983968099,2.033333333333333,1,34.761241045809186,Normal
frank,2026-07-07,7,4,0.08904170989990234,0.018210411071777344,0,0,0,12.0,0.3260814666748047,1.3,-5.0,-0.23703975677490235,-1.3,1,34.71463537570031,Normal
henry,2026-07-14,15,7,0.5557785034179688,0.14810943603515625,4,4,1,12.733333333333333,0.3987883567810059,2.033333333333333,2.2666666666666675,0.15699014663696287,1.9666666666666668,1,34.69164831012039,Normal
bob,2026-07-21,16,5,0.5331106185913086,0.14401626586914062,4,4,1,13.3,0.3794918378194173,1.9333333333333333,2.6999999999999993,0.15361878077189128,2.0666666666666664,1,34.570087863255324,Normal
frank,2026-07-20,16,5,0.5784177780151367,0.12883567810058594,3,3,1,12.0,0.3260814666748047,1.3,4.0,0.252336311340332,1.7,1,34.41580006359305,Normal
bob,2026-07-20,16,7,0.45830821990966797,0.17512035369873047,3,3,1,13.3,0.3794918378194173,1.9333333333333333,2.6999999999999993,0.07881638209025066,1.0666666666666667,1,34.108026309411756,Normal
david,2026-06-30,14,6,0.2200460433959961,0.061280250549316406,2,2,1,11.1,0.31158746083577477,1.4,2.9000000000000004,-0.09154141743977867,0.6000000000000001,1,33.57714444797048,Normal
grace,2026-07-08,15,5,0.25458431243896484,0.054637908935546875,2,2,1,13.866666666666667,0.4211228052775065,1.9666666666666666,1.1333333333333329,-0.16653849283854166,0.03333333333333344,1,33.30884056263995,Normal
david,2026-07-12,7,3,0.07746219635009766,0.020870208740234375,0,0,0,11.1,0.31158746083577477,1.4,-4.1,-0.2341252644856771,-1.4,1,33.19364439984391,Normal
charlie,2026-07-09,16,4,0.2625436782836914,0.02794647216796875,0,0,0,12.633333333333333,0.3254096031188965,1.3666666666666667,3.366666666666667,-0.06286592483520509,-1.3666666666666667,1,33.02077561083952,Normal
bob,2026-07-05,12,7,0.45515918731689453,0.15094757080078125,3,3,1,13.3,0.3794918378194173,1.9333333333333333,-1.3000000000000007,0.07566734949747722,1.0666666666666667,1,32.84875315694924,Normal
charlie,2026-07-23,16,5,0.6157083511352539,0.1559152603149414,3,3,1,12.633333333333333,0.3254096031188965,1.3666666666666667,3.366666666666667,0.2902987480163574,1.6333333333333333,1,32.35605039243357,Normal
emma,2026-07-14,15,4,0.17686843872070312,0.023700714111328125,0,0,0,11.733333333333333,0.30829159418741864,1.2666666666666666,3.2666666666666675,-0.1314231554667155,-1.2666666666666666,1,31.66663059277117,Normal
frank,2026-07-18,13,7,0.4849586486816406,0.13998126983642578,3,3,1,12.0,0.3260814666748047,1.3,1.0,0.15887718200683593,1.7,1,31.29179144548633,Normal
alice,2026-07-07,20,5,0.35230541229248047,0.10399436950683594,1,1,1,12.633333333333333,0.30073706309000653,1.1666666666666667,7.366666666666667,0.05156834920247394,-0.16666666666666674,1,31.04505561442017,Normal
alice,2026-07-27,20,5,0.3453664779663086,0.12580299377441406,1,1,1,12.633333333333333,0.30073706309000653,1.1666666666666667,7.366666666666667,0.044629414876302065,-0.16666666666666674,1,30.680469210934568,Normal
henry,2026-07-03,10,6,0.25041675567626953,0.0787057876586914,2,2,1,12.733333333333333,0.3987883567810059,2.033333333333333,-2.7333333333333325,-0.14837160110473635,-0.033333333333333215,1,29.70665561409315,Normal
david,2026-07-26,17,5,0.5647106170654297,0.18588924407958984,2,2,1,11.1,0.31158746083577477,1.4,5.9,0.2531231562296549,0.6000000000000001,1,29.421177427384134,Normal
bob,2026-07-26,9,3,0.12475299835205078,0.027337074279785156,0,0,0,13.3,0.3794918378194173,1.9333333333333333,-4.300000000000001,-0.25473883946736653,-1.9333333333333333,1,29.230067545678857,Normal
frank,2026-07-10,17,6,0.3586864471435547,0.06637763977050781,2,2,1,12.0,0.3260814666748047,1.3,5.0,0.03260498046874999,0.7,1,28.831225798334064,Normal
emma,2026-07-05,6,3,0.09602832794189453,0.024784088134765625,0,0,0,11.733333333333333,0.30829159418741864,1.2666666666666666,-5.7333333333333325,-0.2122632662455241,-1.2666666666666666,1,28.63642698140238,Normal
henry,2026-07-21,13,6,0.6723155975341797,0.16499805450439453,4,4,1,12.733333333333333,0.3987883567810059,2.033333333333333,0.2666666666666675,0.2735272407531738,1.9666666666666668,1,28.615224830475082,Normal
emma,2026-07-12,17,5,0.30249691009521484,0.05465126037597656,1,1,1,11.733333333333333,0.30829159418741864,1.2666666666666666,5.2666666666666675,-0.0057946840922037945,-0.2666666666666666,1,27.481183427657253,Normal
henry,2026-06-29,8,5,0.2962608337402344,0.1055755615234375,2,2,1,12.733333333333333,0.3987883567810059,2.033333333333333,-4.7333333333333325,-0.1025275230407715,-0.033333333333333215,1,27.322853499032007,Normal
david,2026-07-10,14,4,0.20388507843017578,0.028016090393066406,0,0,0,11.1,0.31158746083577477,1.4,2.9000000000000004,-0.10770238240559898,-1.4,1,27.02641728438357,Normal
david,2026-07-02,12,5,0.5307483673095703,0.13201904296875,3,3,1,11.1,0.31158746083577477,1.4,0.9000000000000004,0.21916090647379555,1.6,1,26.833325062376222,Normal
david,2026-07-19,14,6,0.40341663360595703,0.11808967590332031,3,3,1,11.1,0.31158746083577477,1.4,2.9000000000000004,0.09182917277018227,1.6,1,26.67270013551606,Normal
emma,2026-06-28,9,4,0.33765697479248047,0.18631839752197266,1,1,1,11.733333333333333,0.30829159418741864,1.2666666666666666,-2.7333333333333325,0.02936538060506183,-0.2666666666666666,1,26.50164702804434,Normal
grace,2026-07-25,10,6,0.4388113021850586,0.18623828887939453,2,2,1,13.866666666666667,0.4211228052775065,1.9666666666666666,-3.866666666666667,0.017688496907552087,0.03333333333333344,1,26.24845066043193,Normal
henry,2026-06-28,11,5,0.48838233947753906,0.17630577087402344,3,3,1,12.733333333333333,0.3987883567810059,2.033333333333333,-1.7333333333333325,0.08959398269653318,0.9666666666666668,1,26.20171254579343,Normal
david,2026-07-05,7,4,0.28301525115966797,0.18993663787841797,1,1,1,11.1,0.31158746083577477,1.4,-4.1,-0.028572209676106797,-0.3999999999999999,1,26.195595379114568,Normal
henry,2026-07-09,9,6,0.5155305862426758,0.1832752227783203,3,3,1,12.733333333333333,0.3987883567810059,2.033333333333333,-3.7333333333333325,0.1167422294616699,0.9666666666666668,1,25.849515484255775,Normal
emma,2026-07-06,10,6,0.5057268142700195,0.18662261962890625,3,3,1,11.733333333333333,0.30829159418741864,1.2666666666666666,-1.7333333333333325,0.1974352200826009,1.7333333333333334,1,25.38557618650859,Normal
alice,2026-07-12,16,6,0.5824184417724609,0.18585872650146484,2,2,1,12.633333333333333,0.30073706309000653,1.1666666666666667,3.366666666666667,0.2816813786824544,0.8333333333333333,1,25.335889871770895,Normal
alice,2026-07-03,7,4,0.15215778350830078,0.08199214935302734,1,1,1,12.633333333333333,0.30073706309000653,1.1666666666666667,-5.633333333333333,-0.14857927958170575,-0.16666666666666674,1,24.641121611205943,Normal
david,2026-07-08,12,6,0.6100578308105469,0.1871175765991211,4,4,1,11.1,0.31158746083577477,1.4,0.9000000000000004,0.2984703699747721,2.6,1,24.59891722258591,Normal
henry,2026-07-11,8,4,0.11563873291015625,0.026096343994140625,0,0,0,12.733333333333333,0.3987883567810059,2.033333333333333,-4.7333333333333325,-0.28314962387084963,-2.033333333333333,1,24.59688630982653,Normal
bob,2026-07-09,13,6,0.5263509750366211,0.1701364517211914,4,4,1,13.3,0.3794918378194173,1.9333333333333333,-0.3000000000000007,0.14685913721720378,2.0666666666666664,1,24.57665233742659,Normal
grace,2026-07-04,10,5,0.19810771942138672,0.050683021545410156,1,1,1,13.866666666666667,0.4211228052775065,1.9666666666666666,-3.866666666666667,-0.2230150858561198,-0.9666666666666666,1,24.538400824627487,Normal
bob,2026-07-17,15,6,0.6282281875610352,0.18569660186767578,4,4,1,13.3,0.3794918378194173,1.9333333333333333,1.6999999999999993,0.24873634974161785,2.0666666666666664,1,24.41736737348677,Normal
